release_month,country,total_poi,poi_with_polygons,point-only_poi,distinct_brands,branded_poi,brands_with_at_least_1_new_opened_poi,brands_with_at_least_1_new_closed_poi,closed_poi,opened_poi_this_month,closed_poi_this_month,synthetic_polygons,synthetic_numerator,synthetic_denominator,pct_synthetic,polygon_coverage,poi_with_website,pct_with_website,total_poi_with_parking_lots
May 2020,CA,"644,760","644,760",,616,"59,353",20,26,415,53,115,,,,,,,,
May 2020,US,"5,723,477","5,723,477",,"5,183","1,185,536",153,146,"438,491",624,926,,,,,,,,
Jun 2020,CA,"646,987","646,987",,625,"62,667",8,15,401,10,21,,,,,,,,
Jun 2020,US,"5,761,856","5,761,856",,"5,209","1,186,253",81,124,"440,350",322,484,,,,,,,,
Jul 2020,CA,"646,971","646,971",,623,"63,155",10,13,573,21,22,,,,,,,,
Jul 2020,US,"5,799,415","5,799,415",,"5,228","1,187,802",107,142,"441,216",491,854,,,,,,,,
Aug 2020,CA,"592,897","592,897",,656,"66,730",17,25,649,40,82,,,,,,,,
Aug 2020,US,"5,771,136","5,771,136",,"5,370","1,259,850",137,165,"466,810","1,025","1,706",,,,,,,,
Sep 2020,CA,"595,868","595,868",,674,"71,061",15,22,690,33,45,,,,,,,,
Sep 2020,US,"5,793,038","5,793,038",,"5,444","1,268,016",149,376,"486,688","2,252","41,395",,,,,,,,
Oct 2020,CA,"600,559","600,559",,708,"78,092",24,23,817,109,132,,,,,,,,
Oct 2020,US,"5,823,934","5,823,934",,"5,485","1,274,409",188,410,"490,433",786,"31,655",,,,,,,,
Nov 2020,CA,"603,197","603,197",,732,"80,292",14,11,865,55,57,,,,,,,,
Nov 2020,US,"6,050,971","6,050,971",,"5,547","1,286,548","1,286,548",163,"492,729",692,"1,968",,,,,,,,
Dec 2020,CA,"606,103","606,103",,745,"80,919",14,15,892,20,20,,,,,,,,
Dec 2020,US,"6,268,324","6,268,324",,"5,536","1,293,037",120,133,"499,248",461,"4,249",,,,,,,,
Jan 2021,CA,"616,607","616,607",,787,"83,813",32,26,"1,091",73,52,,,,,,,,
Jan 2021,US,"6,379,640","6,379,640",,"5,525","1,299,279",206,214,"501,913","1,140","2,697",,,,,,,,
Jan 2021,Grand Total,"6,996,247","6,996,247",0,"5,665","1,383,092",217,229,"503,004","1,213","2,749",,,,,,,,
Feb 2021,CA,"620,506","620,506",,817,"84,447",33,38,"1,281",77,125,,,,,,,,
Feb 2021,US,"6,366,926","6,366,926",,"5,540","1,299,758",239,247,"504,407","1,306","3,838",,,,,,,,
Feb 2021,Grand Total,"6,987,432","6,987,432",0,"5,689","1,384,205",257,267,"505,688","1,383","3,963",,,,,,,,
Mar 2021,CA,"621,827","621,827",,864,"85,813",25,32,"1,292",38,54,,,,,,,,
Mar 2021,US,"6,373,209","6,373,209",,"5,541","1,304,505",334,362,"507,383","1,102","2,905",,,,,,,,
Mar 2021,Grand Total,"6,995,036","6,995,036",0,"5,690","1,390,318",348,381,"508,675","1,140","2,959",,,,,,,,
